customer_id,Recency,Frequency,Monetary,ComplaintCnt,Tenure,AvgOrder,Segment_D4,cluster,cluster_name,Churn
C1035,62,2,15234,1,111,7617,G8 Lost,2,流失高風險,0
C0030,10,11,101438,0,2104,9222,G1 VIP(Champions),1,VIP 高頻高額,0
C0241,9,7,39697,0,715,5671,G5 Potential Loyalists,1,VIP 高頻高額,0
C0799,8,11,33932,1,775,3085,G1 VIP(Champions),1,VIP 高頻高額,0
C0818,33,11,90161,0,1146,8196,G2 Loyal,1,VIP 高頻高額,0
C0066,3,12,168830,0,2829,14069,G1 VIP(Champions),1,VIP 高頻高額,0
C0602,35,5,34335,0,1784,6867,G8 Lost,3,穩定中段,0
C0925,49,2,24744,1,2407,12372,G7 Hibernating,2,流失高風險,0
C0755,15,10,22526,0,258,2253,G2 Loyal,1,VIP 高頻高額,0
C0927,72,3,8514,1,300,2838,G8 Lost,2,流失高風險,0
C1102,93,2,11588,1,2348,5794,G8 Lost,2,流失高風險,0
C0248,31,7,67372,0,2577,9625,G8 Lost,1,VIP 高頻高額,0
C0278,16,11,16100,0,1590,1464,G8 Lost,3,穩定中段,0
C1403,259,2,5259,1,108,2630,G8 Lost,0,沉睡客戶,1
C1067,77,2,23249,3,717,11624,G7 Hibernating,2,流失高風險,0
C0480,21,10,22871,0,2072,2287,G2 Loyal,1,VIP 高頻高額,0
C0427,24,9,14722,0,1925,1636,G8 Lost,3,穩定中段,0
C0124,11,8,69816,1,2345,8727,G1 VIP(Champions),1,VIP 高頻高額,0
C1170,103,3,11357,0,2685,3786,G8 Lost,3,穩定中段,0
C0395,11,8,40323,0,1998,5040,G1 VIP(Champions),1,VIP 高頻高額,0
C0986,45,4,25492,1,2146,6373,G8 Lost,2,流失高風險,0
C0716,23,5,28482,0,2971,5696,G5 Potential Loyalists,3,穩定中段,0
C1135,87,0,8536,1,2800,0,G8 Lost,2,流失高風險,0
C1085,115,0,40491,1,2208,0,G7 Hibernating,2,流失高風險,1
C0498,14,8,34398,0,2496,4300,G1 VIP(Champions),1,VIP 高頻高額,0
C0045,0,11,8563,0,1342,778,G8 Lost,3,穩定中段,0
C0060,18,7,39759,0,2553,5680,G5 Potential Loyalists,1,VIP 高頻高額,0
C1162,96,4,30070,0,1529,7518,G7 Hibernating,3,穩定中段,0
C0024,13,21,67737,0,1664,3226,G1 VIP(Champions),1,VIP 高頻高額,0
C0875,22,3,47489,0,2182,15830,G3 Big Spenders,3,穩定中段,0
C0482,10,4,31789,0,2879,7947,G3 Big Spenders,3,穩定中段,0
C1325,50,2,25184,2,902,12592,G7 Hibernating,2,流失高風險,0
C0746,15,9,34344,0,608,3816,G1 VIP(Champions),1,VIP 高頻高額,0
C0232,25,11,21995,1,2206,2000,G2 Loyal,1,VIP 高頻高額,0
C0125,26,22,139015,0,1629,6319,G1 VIP(Champions),1,VIP 高頻高額,0
C0428,45,4,67511,0,2412,16878,G8 Lost,1,VIP 高頻高額,0
C0819,47,7,46767,0,383,6681,G6 At Risk,1,VIP 高頻高額,0
C0169,19,10,34115,0,1798,3412,G1 VIP(Champions),1,VIP 高頻高額,0
C0116,26,22,60343,0,2891,2743,G1 VIP(Champions),1,VIP 高頻高額,0
C1089,57,2,36910,2,1510,18455,G7 Hibernating,2,流失高風險,0
C0987,73,2,25602,1,1260,12801,G7 Hibernating,2,流失高風險,0
C1396,175,0,6892,0,2572,0,G8 Lost,0,沉睡客戶,1
C1425,219,1,5849,1,2130,5849,G8 Lost,0,沉睡客戶,1
C0416,41,8,16953,0,1730,2119,G8 Lost,3,穩定中段,0
C0142,4,22,58123,0,1898,2642,G1 VIP(Champions),1,VIP 高頻高額,0
C1234,95,3,33178,0,2191,11059,G7 Hibernating,3,穩定中段,0
C1294,82,3,11034,0,2074,3678,G8 Lost,3,穩定中段,0
C0763,26,8,43519,0,1628,5440,G1 VIP(Champions),1,VIP 高頻高額,0
C1207,99,1,28716,1,86,28716,G7 Hibernating,2,流失高風險,0
C0463,31,7,27893,1,1492,3985,G8 Lost,2,流失高風險,0
C1244,40,2,4825,1,2761,2412,G8 Lost,2,流失高風險,0
C0079,6,18,28692,0,77,1594,G2 Loyal,1,VIP 高頻高額,0
C1005,51,2,14353,2,2823,7176,G8 Lost,2,流失高風險,0
C1491,190,3,5664,0,2404,1888,G8 Lost,0,沉睡客戶,0
C0572,47,5,15193,0,177,3039,G8 Lost,3,穩定中段,0
C0016,7,11,128571,0,1798,11688,G1 VIP(Champions),1,VIP 高頻高額,0
C0495,36,9,25672,1,1806,2852,G2 Loyal,1,VIP 高頻高額,0
C0351,8,8,16180,1,2861,2022,G8 Lost,2,流失高風險,0
C1000,114,0,40872,0,1622,0,G7 Hibernating,3,穩定中段,0
C0275,17,9,41276,0,2954,4586,G1 VIP(Champions),1,VIP 高頻高額,0
C1192,98,1,53112,1,1805,53112,G7 Hibernating,2,流失高風險,0
C0272,38,10,31678,0,2021,3168,G2 Loyal,1,VIP 高頻高額,0
C1474,119,0,2921,0,2340,0,G8 Lost,3,穩定中段,1
C0238,40,4,32329,1,2844,8082,G8 Lost,2,流失高風險,0
C0586,13,4,44822,0,1455,11206,G3 Big Spenders,3,穩定中段,0
C1313,83,1,15518,3,2896,15518,G8 Lost,2,流失高風險,0
C0695,36,7,45356,0,2790,6479,G8 Lost,1,VIP 高頻高額,0
C1002,93,0,16599,1,1194,0,G8 Lost,2,流失高風險,0
C0323,8,10,47712,0,1635,4771,G1 VIP(Champions),1,VIP 高頻高額,0
C0783,2,4,43990,0,1477,10998,G3 Big Spenders,3,穩定中段,0
C1359,246,1,5630,2,2054,5630,G8 Lost,0,沉睡客戶,1
C1204,58,3,10344,1,1707,3448,G8 Lost,2,流失高風險,0
C0971,98,0,17711,1,2567,0,G8 Lost,2,流失高風險,0
C1467,205,1,5781,3,1997,5781,G8 Lost,0,沉睡客戶,1
C0527,39,5,56401,0,41,11280,G8 Lost,1,VIP 高頻高額,0
C1426,245,0,13480,2,1273,0,G8 Lost,0,沉睡客戶,1
C1171,102,4,29901,1,473,7475,G7 Hibernating,2,流失高風險,0
C0176,7,10,64780,0,2882,6478,G1 VIP(Champions),1,VIP 高頻高額,0
C0359,20,7,64133,1,2082,9162,G5 Potential Loyalists,1,VIP 高頻高額,0
C0044,15,10,48843,0,1273,4884,G1 VIP(Champions),1,VIP 高頻高額,0
C0417,18,9,85555,0,626,9506,G1 VIP(Champions),1,VIP 高頻高額,0
C0345,6,3,25036,1,426,8345,G8 Lost,2,流失高風險,0
C1027,106,3,26538,2,1491,8846,G7 Hibernating,2,流失高風險,0
C1402,247,3,7821,3,1579,2607,G8 Lost,0,沉睡客戶,1
C0102,15,22,121684,0,1895,5531,G1 VIP(Champions),1,VIP 高頻高額,0
C0108,7,15,51666,0,2020,3444,G1 VIP(Champions),1,VIP 高頻高額,0
C1490,330,2,6867,0,787,3434,G8 Lost,0,沉睡客戶,1
C1053,68,2,7279,0,609,3640,G8 Lost,3,穩定中段,0
C0965,61,4,21109,1,2740,5277,G7 Hibernating,2,流失高風險,0
C0381,26,9,8566,0,1613,952,G8 Lost,3,穩定中段,0
C0245,40,10,10514,0,2096,1051,G8 Lost,3,穩定中段,0
C1100,116,1,8249,1,2681,8249,G8 Lost,2,流失高風險,0
C0501,2,5,15996,0,2314,3199,G5 Potential Loyalists,3,穩定中段,0
C0701,31,8,36587,0,1632,4573,G2 Loyal,1,VIP 高頻高額,0
C0129,1,16,31967,0,90,1998,G1 VIP(Champions),1,VIP 高頻高額,0
C0240,20,5,37721,0,1718,7544,G5 Potential Loyalists,3,穩定中段,0
C1115,79,2,35144,0,2534,17572,G7 Hibernating,3,穩定中段,0
C0683,36,12,34159,0,1878,2847,G2 Loyal,1,VIP 高頻高額,0
C0483,14,7,23545,0,1248,3364,G5 Potential Loyalists,3,穩定中段,0
C1306,55,3,27476,3,1572,9159,G7 Hibernating,2,流失高風險,0
C0276,40,5,39293,1,642,7859,G8 Lost,2,流失高風險,0
C0583,5,5,21962,0,1584,4392,G5 Potential Loyalists,3,穩定中段,0
C0204,17,6,15579,0,1346,2596,G5 Potential Loyalists,3,穩定中段,0
C0033,21,24,45639,1,1010,1902,G1 VIP(Champions),1,VIP 高頻高額,0
C1320,79,3,9154,0,1334,3051,G8 Lost,3,穩定中段,0
C0814,17,9,28778,0,144,3198,G2 Loyal,1,VIP 高頻高額,0
C0998,71,3,30472,0,2726,10157,G7 Hibernating,3,穩定中段,0
C0382,22,6,108815,3,1134,18136,G5 Potential Loyalists,2,流失高風險,0
C1074,63,3,13815,0,1930,4605,G8 Lost,3,穩定中段,0
C1349,47,0,16468,0,1312,0,G8 Lost,3,穩定中段,0
C0579,36,8,22700,0,1519,2838,G2 Loyal,3,穩定中段,0
C0888,17,5,35040,0,1289,7008,G5 Potential Loyalists,3,穩定中段,0
C1326,125,3,9154,0,1047,3051,G8 Lost,3,穩定中段,0
C1327,128,2,12437,1,1468,6218,G8 Lost,2,流失高風險,1
C0942,67,0,16608,1,877,0,G8 Lost,2,流失高風險,0
C0164,39,11,29823,0,2811,2711,G2 Loyal,1,VIP 高頻高額,0
C0910,71,4,7075,0,2151,1769,G8 Lost,3,穩定中段,0
C0298,28,7,7859,0,733,1123,G5 Potential Loyalists,3,穩定中段,0
C0756,38,8,22020,0,2809,2752,G2 Loyal,3,穩定中段,0
C0406,11,12,14182,0,2023,1182,G8 Lost,1,VIP 高頻高額,0
C0969,104,1,57114,1,740,57114,G7 Hibernating,2,流失高風險,0
C0606,22,9,18962,0,2636,2107,G8 Lost,3,穩定中段,0
C0421,40,5,45167,0,1950,9033,G8 Lost,3,穩定中段,0
C0465,18,9,79711,0,2563,8857,G1 VIP(Champions),1,VIP 高頻高額,0
C1188,115,2,20577,2,1378,10288,G8 Lost,2,流失高風險,0
C0940,105,1,7732,1,2823,7732,G8 Lost,2,流失高風險,0
C0193,42,11,28382,1,523,2580,G2 Loyal,1,VIP 高頻高額,0
C0675,11,5,33628,1,1221,6726,G5 Potential Loyalists,2,流失高風險,0
C0352,38,5,28492,0,1789,5698,G8 Lost,3,穩定中段,0
C0859,29,10,20764,1,819,2076,G2 Loyal,1,VIP 高頻高額,0
C0064,21,22,35407,0,402,1609,G1 VIP(Champions),1,VIP 高頻高額,0
C1174,109,0,10352,0,1379,0,G8 Lost,3,穩定中段,0
C0766,38,9,17411,0,863,1935,G8 Lost,3,穩定中段,0
C1441,212,0,13692,1,2941,0,G8 Lost,0,沉睡客戶,0
C0262,2,5,28685,0,2044,5737,G5 Potential Loyalists,3,穩定中段,0
C0343,32,7,37123,0,1705,5303,G8 Lost,1,VIP 高頻高額,0
C1221,72,2,11794,2,2366,5897,G8 Lost,2,流失高風險,0
C0472,27,7,28858,2,1224,4123,G5 Potential Loyalists,2,流失高風險,0
C1335,126,0,28999,0,537,0,G7 Hibernating,3,穩定中段,0
C0199,25,7,24833,0,993,3548,G5 Potential Loyalists,3,穩定中段,0
C1232,52,1,35009,1,560,35009,G7 Hibernating,2,流失高風險,0
C0918,66,2,9284,1,2163,4642,G8 Lost,2,流失高風險,0
C0744,33,9,38831,0,749,4315,G2 Loyal,1,VIP 高頻高額,0
C0571,38,7,58198,2,843,8314,G8 Lost,2,流失高風險,0
C0219,41,6,46484,0,428,7747,G8 Lost,1,VIP 高頻高額,0
C0454,2,9,16674,1,984,1853,G8 Lost,2,流失高風險,0
C0031,30,16,87151,0,688,5447,G1 VIP(Champions),1,VIP 高頻高額,0
C0057,3,8,83739,1,1570,10467,G1 VIP(Champions),1,VIP 高頻高額,0
C1211,123,2,12054,1,1389,6027,G8 Lost,2,流失高風險,0
C1386,138,1,9923,2,2367,9923,G8 Lost,2,流失高風險,1
C1066,84,1,27907,0,2537,27907,G7 Hibernating,3,穩定中段,0
C0431,31,7,67774,3,1883,9682,G8 Lost,2,流失高風險,0
C0725,35,11,48269,0,2963,4388,G2 Loyal,1,VIP 高頻高額,0
C1145,60,2,12091,1,2011,6046,G8 Lost,2,流失高風險,0
C1006,69,2,6705,0,1922,3352,G8 Lost,3,穩定中段,0
C1051,108,1,23004,0,1985,23004,G7 Hibernating,3,穩定中段,0
C1346,96,2,16380,0,968,8190,G8 Lost,3,穩定中段,0
C1237,80,3,25421,0,899,8474,G7 Hibernating,3,穩定中段,0
C1236,101,0,11995,1,1043,0,G8 Lost,2,流失高風險,0
C1449,205,2,7404,0,631,3702,G8 Lost,0,沉睡客戶,1
C0621,10,7,44040,0,1063,6291,G5 Potential Loyalists,1,VIP 高頻高額,0
C1068,47,2,22549,1,2793,11274,G7 Hibernating,2,流失高風險,0
C0839,38,11,26843,0,1133,2440,G2 Loyal,1,VIP 高頻高額,0
C0100,19,22,48471,0,1887,2203,G1 VIP(Champions),1,VIP 高頻高額,0
C0533,23,6,102841,0,1409,17140,G5 Potential Loyalists,1,VIP 高頻高額,0
C0529,9,9,27675,0,2089,3075,G2 Loyal,1,VIP 高頻高額,0
C1347,44,2,9514,0,2550,4757,G8 Lost,3,穩定中段,0
C1173,54,3,41484,1,611,13828,G7 Hibernating,2,流失高風險,0
C1179,75,5,68011,2,2447,13602,G6 At Risk,2,流失高風險,0
C0630,0,6,14222,1,70,2370,G5 Potential Loyalists,2,流失高風險,0
C1028,59,0,38921,0,1728,0,G7 Hibernating,3,穩定中段,0
C0271,31,5,40724,0,2705,8145,G8 Lost,3,穩定中段,0
C1342,55,1,20777,0,1514,20777,G7 Hibernating,3,穩定中段,0
C0627,21,9,18383,0,2151,2043,G8 Lost,3,穩定中段,0
C1043,53,2,14691,1,283,7346,G8 Lost,2,流失高風險,0
C0977,60,2,18021,2,1566,9010,G8 Lost,2,流失高風險,0
C0372,27,5,55687,0,2231,11137,G5 Potential Loyalists,1,VIP 高頻高額,0
C0589,31,9,69950,1,2602,7772,G2 Loyal,1,VIP 高頻高額,0
C0968,88,2,28123,2,557,14062,G7 Hibernating,2,流失高風險,0
C1166,66,4,14401,1,2952,3600,G8 Lost,2,流失高風險,0
C1147,112,0,4875,1,2975,0,G8 Lost,2,流失高風險,0
C0237,28,6,59732,0,950,9955,G5 Potential Loyalists,1,VIP 高頻高額,0
C0597,36,4,18143,0,1785,4536,G8 Lost,3,穩定中段,0
C0963,57,0,45129,1,1617,0,G7 Hibernating,2,流失高風險,0
C1446,101,1,13364,2,1077,13364,G8 Lost,2,流失高風險,1
C1164,52,0,3828,1,2323,0,G8 Lost,2,流失高風險,0
C0591,37,5,32863,1,578,6573,G8 Lost,2,流失高風險,0
C0209,47,8,16976,0,2502,2122,G8 Lost,3,穩定中段,0
C1075,78,0,30797,0,2295,0,G7 Hibernating,3,穩定中段,0
C0900,16,5,28674,0,1345,5735,G5 Potential Loyalists,3,穩定中段,0
C0354,38,9,18758,0,1112,2084,G8 Lost,3,穩定中段,0
C0059,18,15,145357,0,743,9690,G1 VIP(Champions),1,VIP 高頻高額,0
C0304,21,5,44674,0,988,8935,G5 Potential Loyalists,3,穩定中段,0
C1448,208,1,5953,2,2190,5953,G8 Lost,0,沉睡客戶,1
C0844,34,5,42783,0,634,8557,G8 Lost,3,穩定中段,0
C1262,128,0,41997,0,1942,0,G7 Hibernating,3,穩定中段,0
C1431,243,1,18795,1,319,18795,G8 Lost,0,沉睡客戶,1
C1210,87,3,37963,1,197,12654,G7 Hibernating,2,流失高風險,0
C0368,39,6,21192,0,1659,3532,G8 Lost,3,穩定中段,0
C1358,364,1,12295,1,1906,12295,G8 Lost,0,沉睡客戶,1
C1198,105,1,35784,1,1686,35784,G7 Hibernating,2,流失高風險,0
C1305,66,4,9676,3,751,2419,G8 Lost,2,流失高風險,0
C1233,56,4,16434,0,162,4108,G8 Lost,3,穩定中段,0
C0705,0,7,21597,1,1401,3085,G5 Potential Loyalists,2,流失高風險,0
C0234,20,4,30507,1,2544,7627,G8 Lost,2,流失高風險,0
C0619,27,8,91665,0,1581,11458,G1 VIP(Champions),1,VIP 高頻高額,0
C0197,51,11,34675,0,1793,3152,G6 At Risk,1,VIP 高頻高額,0
C1260,104,2,9984,2,2661,4992,G8 Lost,2,流失高風險,0
C0082,8,17,33411,0,2883,1965,G1 VIP(Champions),1,VIP 高頻高額,0
C1405,147,0,23239,1,1564,0,G7 Hibernating,2,流失高風險,0
C0598,44,10,39638,0,2625,3964,G2 Loyal,1,VIP 高頻高額,0
C1157,59,4,7108,0,2278,1777,G8 Lost,3,穩定中段,0
C0112,9,14,68933,2,2579,4924,G1 VIP(Champions),1,VIP 高頻高額,0
C1277,60,4,17023,1,1847,4256,G8 Lost,2,流失高風險,0
C0781,30,7,13317,0,1024,1902,G5 Potential Loyalists,3,穩定中段,0
C0984,58,1,17867,3,2638,17867,G8 Lost,2,流失高風險,1
C0800,4,3,17352,0,2177,5784,G4 New/Promising,3,穩定中段,0
C1266,88,3,16533,1,1557,5511,G8 Lost,2,流失高風險,0
C1151,46,0,30569,2,1307,0,G8 Lost,2,流失高風險,0
C0825,43,6,27026,1,195,4504,G8 Lost,2,流失高風險,0
C0383,45,10,53618,0,436,5362,G2 Loyal,1,VIP 高頻高額,0
C0539,42,7,20386,0,2605,2912,G8 Lost,3,穩定中段,0
C1494,151,0,3863,0,250,0,G8 Lost,0,沉睡客戶,0
C1113,104,2,8102,0,263,4051,G8 Lost,3,穩定中段,0
C0325,20,6,9123,3,1744,1520,G5 Potential Loyalists,2,流失高風險,0
C0362,27,12,19866,0,2408,1656,G8 Lost,1,VIP 高頻高額,0
C1488,286,1,12777,1,2305,12777,G8 Lost,0,沉睡客戶,1
C1030,61,2,19614,0,1927,9807,G8 Lost,3,穩定中段,0
C0708,6,8,36393,1,1169,4549,G1 VIP(Champions),1,VIP 高頻高額,0
C0333,34,5,78670,0,2399,15734,G8 Lost,1,VIP 高頻高額,0
C0430,28,11,28988,2,2425,2635,G2 Loyal,2,流失高風險,0
C1243,114,4,27313,0,1987,6828,G7 Hibernating,3,穩定中段,0
C0426,30,7,40144,0,458,5735,G5 Potential Loyalists,1,VIP 高頻高額,0
C0629,37,9,26990,1,2521,2999,G2 Loyal,1,VIP 高頻高額,0
C1112,119,4,18780,1,2641,4695,G8 Lost,2,流失高風險,0
C0678,9,6,23704,1,2994,3951,G5 Potential Loyalists,2,流失高風險,0
C0694,28,8,61958,0,2899,7745,G1 VIP(Champions),1,VIP 高頻高額,0
C0758,27,6,32719,0,782,5453,G5 Potential Loyalists,3,穩定中段,0
C0255,20,7,31269,0,2840,4467,G5 Potential Loyalists,3,穩定中段,0
C1095,102,2,8513,0,1502,4256,G8 Lost,3,穩定中段,1
C0917,55,2,10240,1,598,5120,G8 Lost,2,流失高風險,0
C1186,76,3,15668,2,2211,5223,G8 Lost,2,流失高風險,0
C0669,20,11,16998,1,1095,1545,G8 Lost,1,VIP 高頻高額,0
C0842,46,10,128733,0,1751,12873,G2 Loyal,1,VIP 高頻高額,0
C0807,25,9,50663,0,408,5629,G1 VIP(Champions),1,VIP 高頻高額,0
C1457,119,0,16739,1,2319,0,G8 Lost,2,流失高風險,0
C0087,0,10,41964,0,1660,4196,G1 VIP(Champions),1,VIP 高頻高額,0
C1422,332,1,10447,0,240,10447,G8 Lost,0,沉睡客戶,1
C0266,24,7,21147,0,2404,3021,G5 Potential Loyalists,3,穩定中段,0
C0288,21,11,44706,0,1479,4064,G1 VIP(Champions),1,VIP 高頻高額,0
C1484,127,0,7597,3,180,0,G8 Lost,2,流失高風險,1
C0893,33,10,10093,0,1766,1009,G8 Lost,3,穩定中段,0
C1496,321,0,2818,2,960,0,G8 Lost,0,沉睡客戶,1
C0979,95,2,32584,0,813,16292,G7 Hibernating,3,穩定中段,0
C0535,7,6,23421,0,2473,3904,G5 Potential Loyalists,3,穩定中段,0
C1001,126,3,7307,2,467,2436,G8 Lost,2,流失高風險,0
C0222,19,4,33996,1,157,8499,G3 Big Spenders,2,流失高風險,0
C0114,6,22,51324,1,342,2333,G1 VIP(Champions),1,VIP 高頻高額,0
C0673,17,6,19351,0,2941,3225,G5 Potential Loyalists,3,穩定中段,0
C0584,19,9,32116,0,2506,3568,G1 VIP(Champions),1,VIP 高頻高額,0
C0175,34,7,16702,1,64,2386,G8 Lost,2,流失高風險,0
C0536,21,9,20825,0,401,2314,G2 Loyal,3,穩定中段,0
C1079,89,2,28034,2,2543,14017,G7 Hibernating,2,流失高風險,0
C1177,81,2,15458,1,887,7729,G8 Lost,2,流失高風險,0
C1107,110,0,20084,1,1890,0,G8 Lost,2,流失高風險,0
C0983,46,2,28769,1,1898,14384,G8 Lost,2,流失高風險,0
C0286,34,9,18402,0,2965,2045,G8 Lost,3,穩定中段,0
C0868,27,6,32274,0,1557,5379,G5 Potential Loyalists,3,穩定中段,0
C0375,30,10,24658,1,1023,2466,G2 Loyal,1,VIP 高頻高額,0
C1197,47,1,8344,2,898,8344,G8 Lost,2,流失高風險,0
C0032,11,12,72863,0,1090,6072,G1 VIP(Champions),1,VIP 高頻高額,0
C0552,27,4,81471,1,273,20368,G3 Big Spenders,1,VIP 高頻高額,0
C0211,43,9,68638,0,2804,7626,G2 Loyal,1,VIP 高頻高額,0
C1047,45,3,19892,0,2012,6631,G8 Lost,3,穩定中段,0
C0924,65,2,17368,1,111,8684,G8 Lost,2,流失高風險,0
C0810,27,12,16638,0,1807,1386,G8 Lost,1,VIP 高頻高額,0
C0618,31,5,17434,0,427,3487,G8 Lost,3,穩定中段,0
C0933,106,5,5530,1,1027,1106,G8 Lost,2,流失高風險,0
