record_id,timestamp,vehicle_id,temp_zone,target_temp_low_c,target_temp_high_c,temp_c,pass_flag,sensor_fault_flag
CLD-001001,2025-03-01 11:15:00,V-003,冷凍,-25,-18,-26.11,0.0,0
CLD-000316,2025-01-09 01:30:00,V-005,冷凍,-25,-18,-18.43,1.0,0
CLD-000941,2025-01-14 06:45:00,V-005,冷凍,-25,-18,-24.63,1.0,0
CLD-000635,2025-04-10 05:00:00,V-009,冷凍,-25,-18,-23.2,1.0,0
CLD-000240,2025-05-28 03:15:00,V-012,多溫層,-25,8,-15.02,1.0,0
CLD-000372,2025-04-30 20:45:00,V-019,冷凍,-25,-18,-26.5,0.0,0
CLD-000620,2025-02-27 08:45:00,V-008,冷藏,2,8,6.46,1.0,0
CLD-000191,2025-04-19 12:30:00,V-009,冷凍,-25,-18,-25.01,0.0,0
CLD-001123,2025-03-18 14:45:00,V-014,冷凍,-25,-18,-26.26,0.0,0
CLD-000678,2025-06-18 02:45:00,V-018,冷藏,2,8,2.22,1.0,0
CLD-000708,2025-01-22 09:30:00,V-002,多溫層,-25,8,-22.88,1.0,0
CLD-000376,2025-01-15 22:15:00,V-020,冷凍,-25,-18,,,1
CLD-000365,2025-03-01 09:15:00,V-014,冷凍,-25,-18,-23.29,1.0,0
CLD-000264,2025-06-08 11:30:00,V-008,冷藏,2,8,6.84,1.0,0
CLD-000403,2025-06-25 16:15:00,V-001,冷凍,-25,-18,-21.78,1.0,0
CLD-000860,2025-06-20 18:45:00,V-006,冷藏,2,8,,,1
CLD-001034,2025-01-10 03:45:00,V-013,冷藏,2,8,,,1
CLD-000823,2025-04-10 10:45:00,V-004,冷藏,2,8,5.64,1.0,0
CLD-001144,2025-06-02 01:30:00,V-014,冷凍,-25,-18,-20.1,1.0,0
CLD-000473,2025-05-27 13:15:00,V-007,冷藏,2,8,3.79,1.0,0
CLD-001197,2025-05-19 12:45:00,V-004,冷藏,2,8,8.65,0.0,0
CLD-000386,2025-01-07 00:30:00,V-008,冷藏,2,8,8.35,0.0,0
CLD-000696,2025-06-29 02:45:00,V-004,冷藏,2,8,2.37,1.0,0
CLD-000391,2025-02-05 17:00:00,V-004,冷藏,2,8,8.29,0.0,0
CLD-000363,2025-04-02 08:15:00,V-006,冷藏,2,8,1.63,0.0,0
CLD-000327,2025-01-28 03:00:00,V-005,冷凍,-25,-18,-23.48,1.0,0
CLD-000315,2025-04-21 03:45:00,V-017,冷藏,2,8,3.11,1.0,0
CLD-001137,2025-04-15 07:00:00,V-009,冷凍,-25,-18,-17.76,0.0,0
CLD-000809,2025-03-27 22:30:00,V-008,冷藏,2,8,1.98,0.0,0
CLD-000064,2025-04-06 00:15:00,V-019,冷凍,-25,-18,-17.72,0.0,0
CLD-000104,2025-05-11 08:30:00,V-006,冷藏,2,8,8.71,0.0,0
CLD-001159,2025-04-23 18:45:00,V-004,冷藏,2,8,3.86,1.0,0
CLD-000743,2025-03-04 14:00:00,V-010,冷凍,-25,-18,-18.39,1.0,0
CLD-000531,2025-06-03 06:15:00,V-014,冷凍,-25,-18,-19.05,1.0,0
CLD-000124,2025-06-26 07:00:00,V-002,多溫層,-25,8,-24.09,1.0,0
CLD-000559,2025-04-06 21:45:00,V-001,冷凍,-25,-18,-26.46,0.0,0
CLD-000157,2025-01-12 11:30:00,V-016,多溫層,-25,8,-17.7,1.0,0
CLD-000636,2025-06-06 03:45:00,V-009,冷凍,-25,-18,,,1
CLD-000420,2025-04-04 13:00:00,V-016,多溫層,-25,8,-20.72,1.0,0
CLD-000755,2025-05-05 05:30:00,V-005,冷凍,-25,-18,-23.52,1.0,0
CLD-000505,2025-04-07 19:15:00,V-012,多溫層,-25,8,-5.24,1.0,0
CLD-000940,2025-04-05 04:45:00,V-017,冷藏,2,8,4.95,1.0,0
CLD-000424,2025-03-30 01:00:00,V-011,多溫層,-25,8,-4.13,1.0,0
CLD-000673,2025-06-20 07:30:00,V-011,多溫層,-25,8,-19.29,1.0,0
CLD-000646,2025-04-03 13:30:00,V-013,冷藏,2,8,2.55,1.0,0
CLD-000757,2025-03-15 22:30:00,V-019,冷凍,-25,-18,,,1
CLD-000301,2025-04-27 03:15:00,V-009,冷凍,-25,-18,-20.49,1.0,0
CLD-000143,2025-02-02 23:30:00,V-012,多溫層,-25,8,8.76,0.0,0
CLD-000576,2025-06-28 18:45:00,V-019,冷凍,-25,-18,-18.77,1.0,0
CLD-000248,2025-04-12 12:30:00,V-002,多溫層,-25,8,-6.54,1.0,0
CLD-000439,2025-04-21 11:00:00,V-018,冷藏,2,8,4.18,1.0,0
CLD-000272,2025-03-22 21:00:00,V-006,冷藏,2,8,3.85,1.0,0
CLD-000822,2025-05-23 11:00:00,V-007,冷藏,2,8,3.88,1.0,0
CLD-000055,2025-06-30 02:15:00,V-010,冷凍,-25,-18,-21.63,1.0,0
CLD-000411,2025-01-25 08:15:00,V-001,冷凍,-25,-18,-19.54,1.0,0
CLD-000791,2025-03-31 23:45:00,V-002,多溫層,-25,8,4.4,1.0,0
CLD-000858,2025-06-06 02:00:00,V-020,冷凍,-25,-18,-19.1,1.0,0
CLD-000541,2025-01-05 04:30:00,V-010,冷凍,-25,-18,-21.65,1.0,0
CLD-000603,2025-05-12 13:30:00,V-003,冷凍,-25,-18,-16.07,0.0,0
CLD-000995,2025-05-02 06:00:00,V-014,冷凍,-25,-18,-17.98,0.0,0
CLD-000431,2025-05-04 11:15:00,V-004,冷藏,2,8,6.92,1.0,0
CLD-001169,2025-04-15 00:45:00,V-019,冷凍,-25,-18,-26.06,0.0,0
CLD-000380,2025-02-13 20:30:00,V-001,冷凍,-25,-18,-19.64,1.0,0
CLD-000555,2025-03-09 01:45:00,V-019,冷凍,-25,-18,-16.35,0.0,0
CLD-001185,2025-04-24 03:45:00,V-003,冷凍,-25,-18,,,1
CLD-000062,2025-01-23 15:15:00,V-002,多溫層,-25,8,-21.05,1.0,0
CLD-000405,2025-05-08 22:30:00,V-015,冷凍,-25,-18,-23.21,1.0,0
CLD-000325,2025-06-14 20:30:00,V-014,冷凍,-25,-18,-23.53,1.0,0
CLD-000719,2025-06-06 07:00:00,V-018,冷藏,2,8,4.39,1.0,0
CLD-000756,2025-03-22 12:45:00,V-013,冷藏,2,8,8.83,0.0,0
CLD-000197,2025-01-18 18:00:00,V-015,冷凍,-25,-18,-26.0,0.0,0
CLD-000668,2025-03-05 13:45:00,V-012,多溫層,-25,8,-3.44,1.0,0
CLD-000155,2025-03-24 04:00:00,V-018,冷藏,2,8,8.16,0.0,0
CLD-001194,2025-04-29 19:15:00,V-011,多溫層,-25,8,-22.62,1.0,0
CLD-000980,2025-06-12 15:30:00,V-003,冷凍,-25,-18,-16.79,0.0,0
CLD-000381,2025-02-01 12:00:00,V-006,冷藏,2,8,7.42,1.0,0
CLD-001090,2025-04-16 09:15:00,V-015,冷凍,-25,-18,-22.98,1.0,0
CLD-000293,2025-05-26 07:15:00,V-013,冷藏,2,8,,,1
CLD-001102,2025-04-20 01:00:00,V-001,冷凍,-25,-18,-17.49,0.0,0
CLD-001054,2025-04-30 12:15:00,V-008,冷藏,2,8,7.05,1.0,0
CLD-000682,2025-04-24 12:15:00,V-010,冷凍,-25,-18,-23.44,1.0,0
CLD-000517,2025-02-27 02:15:00,V-011,多溫層,-25,8,-9.16,1.0,0
CLD-000963,2025-05-10 15:15:00,V-008,冷藏,2,8,7.79,1.0,0
CLD-000739,2025-01-15 20:00:00,V-001,冷凍,-25,-18,-24.98,1.0,0
CLD-000991,2025-01-26 23:15:00,V-003,冷凍,-25,-18,,,1
CLD-000346,2025-01-01 04:45:00,V-010,冷凍,-25,-18,-25.45,0.0,0
CLD-000006,2025-06-28 19:45:00,V-013,冷藏,2,8,3.84,1.0,0
CLD-000600,2025-02-13 22:30:00,V-001,冷凍,-25,-18,-24.03,1.0,0
CLD-000131,2025-06-20 08:15:00,V-002,多溫層,-25,8,-17.83,1.0,0
CLD-000184,2025-01-21 18:15:00,V-014,冷凍,-25,-18,-16.61,0.0,0
CLD-001097,2025-06-24 05:00:00,V-005,冷凍,-25,-18,-26.1,0.0,0
CLD-001150,2025-05-06 03:00:00,V-011,多溫層,-25,8,-11.28,1.0,0
CLD-000291,2025-02-01 01:30:00,V-017,冷藏,2,8,3.96,1.0,0
CLD-000270,2025-06-26 06:15:00,V-003,冷凍,-25,-18,-17.92,0.0,0
CLD-000096,2025-03-27 18:45:00,V-015,冷凍,-25,-18,-23.44,1.0,0
CLD-000503,2025-02-04 23:00:00,V-006,冷藏,2,8,8.63,0.0,0
CLD-000644,2025-05-22 07:45:00,V-014,冷凍,-25,-18,-21.63,1.0,0
CLD-000712,2025-02-09 09:00:00,V-018,冷藏,2,8,5.52,1.0,0
CLD-000234,2025-02-10 06:15:00,V-017,冷藏,2,8,6.88,1.0,0
CLD-001000,2025-03-24 17:15:00,V-009,冷凍,-25,-18,-21.72,1.0,0
CLD-000867,2025-06-02 10:45:00,V-006,冷藏,2,8,4.89,1.0,0
CLD-000944,2025-04-20 05:45:00,V-015,冷凍,-25,-18,-17.21,0.0,0
CLD-000369,2025-05-08 04:00:00,V-008,冷藏,2,8,6.85,1.0,0
CLD-000449,2025-01-24 02:15:00,V-015,冷凍,-25,-18,,,1
CLD-000926,2025-06-04 13:30:00,V-014,冷凍,-25,-18,-23.41,1.0,0
CLD-000759,2025-04-25 13:45:00,V-005,冷凍,-25,-18,-25.03,0.0,0
CLD-001030,2025-06-10 20:00:00,V-009,冷凍,-25,-18,-18.46,1.0,0
CLD-001088,2025-03-06 16:30:00,V-009,冷凍,-25,-18,-23.84,1.0,0
CLD-000436,2025-04-06 22:30:00,V-005,冷凍,-25,-18,-17.54,0.0,0
CLD-001146,2025-01-29 21:30:00,V-018,冷藏,2,8,4.86,1.0,0
CLD-000174,2025-03-27 19:45:00,V-019,冷凍,-25,-18,-23.16,1.0,0
CLD-000219,2025-01-20 11:30:00,V-006,冷藏,2,8,5.34,1.0,0
CLD-000524,2025-04-01 12:15:00,V-009,冷凍,-25,-18,-16.31,0.0,0
CLD-000052,2025-01-06 22:15:00,V-013,冷藏,2,8,2.45,1.0,0
CLD-000432,2025-06-11 12:30:00,V-017,冷藏,2,8,,,1
CLD-000180,2025-06-11 22:45:00,V-010,冷凍,-25,-18,-22.92,1.0,0
CLD-000912,2025-06-16 09:30:00,V-004,冷藏,2,8,3.51,1.0,0
CLD-000821,2025-05-03 15:45:00,V-020,冷凍,-25,-18,-25.32,0.0,0
CLD-000269,2025-03-27 07:45:00,V-002,多溫層,-25,8,-8.11,1.0,0
CLD-000953,2025-03-20 18:30:00,V-008,冷藏,2,8,7.68,1.0,0
CLD-000353,2025-04-20 13:30:00,V-016,多溫層,-25,8,-18.7,1.0,0
CLD-000392,2025-05-08 16:00:00,V-019,冷凍,-25,-18,-23.24,1.0,0
CLD-001047,2025-06-11 20:30:00,V-009,冷凍,-25,-18,-22.85,1.0,0
CLD-000637,2025-05-25 17:00:00,V-013,冷藏,2,8,6.34,1.0,0
CLD-000408,2025-06-05 03:45:00,V-014,冷凍,-25,-18,-25.83,0.0,0
CLD-001122,2025-04-30 23:15:00,,冷凍,-25,-18,,,1
CLD-001021,2025-05-04 00:30:00,V-002,多溫層,-25,8,-14.93,1.0,0
CLD-000274,2025-05-08 02:45:00,V-013,冷藏,2,8,4.82,1.0,0
CLD-000832,2025-04-05 13:45:00,V-020,冷凍,-25,-18,-24.19,1.0,0
CLD-000280,2025-03-31 16:15:00,V-019,冷凍,-25,-18,-16.6,0.0,0
CLD-000904,2025-06-28 17:45:00,V-004,冷藏,2,8,3.25,1.0,0
CLD-000687,2025-01-08 03:45:00,V-019,冷凍,-25,-18,-18.46,1.0,0
CLD-000494,2025-03-13 08:15:00,V-009,冷凍,-25,-18,-23.41,1.0,0
CLD-000988,2025-02-22 01:00:00,V-009,冷凍,-25,-18,-17.09,0.0,0
CLD-000685,2025-06-14 13:45:00,V-006,冷藏,2,8,6.89,1.0,0
CLD-000176,2025-06-05 07:30:00,V-008,冷藏,2,8,3.57,1.0,0
CLD-000455,2025-05-14 11:45:00,V-013,冷藏,2,8,8.63,0.0,0
CLD-001184,2025-05-27 09:15:00,V-011,多溫層,-25,8,2.93,1.0,0
CLD-000705,2025-02-26 01:00:00,V-020,冷凍,-25,-18,-22.94,1.0,0
CLD-000718,2025-03-15 15:45:00,V-009,冷凍,-25,-18,-18.2,1.0,0
CLD-000154,2025-03-12 03:15:00,V-016,多溫層,-25,8,-26.77,0.0,0
CLD-000428,2025-03-22 19:15:00,V-013,冷藏,2,8,8.64,0.0,0
CLD-001069,2025-03-06 22:45:00,V-005,冷凍,-25,-18,-26.95,0.0,0
CLD-000853,2025-03-03 00:15:00,V-014,冷凍,-25,-18,-16.85,0.0,0
CLD-000570,2025-06-29 01:45:00,V-017,冷藏,2,8,4.51,1.0,0
CLD-000843,2025-03-18 10:00:00,V-001,冷凍,-25,-18,-19.76,1.0,0
CLD-000140,2025-04-29 21:15:00,V-011,多溫層,-25,8,,,1
CLD-000471,2025-02-16 23:15:00,V-005,冷凍,-25,-18,-22.37,1.0,0
CLD-000117,2025-04-23 13:45:00,V-002,多溫層,-25,8,9.25,0.0,0
CLD-000343,2025-04-16 13:00:00,V-009,冷凍,-25,-18,-22.09,1.0,0
CLD-000881,2025-05-03 23:30:00,V-017,冷藏,2,8,7.67,1.0,0
CLD-000402,2025-06-01 21:15:00,V-013,冷藏,2,8,2.82,1.0,0
CLD-001077,2025-04-11 09:45:00,V-016,多溫層,-25,8,-13.6,1.0,0
CLD-000037,2025-05-19 23:45:00,V-020,冷凍,-25,-18,-19.18,1.0,0
CLD-000023,2025-05-12 05:30:00,V-009,冷凍,-25,-18,-25.59,0.0,0
CLD-000581,2025-05-16 22:30:00,V-019,冷凍,-25,-18,-16.67,0.0,0
CLD-001141,2025-01-10 03:00:00,V-019,冷凍,-25,-18,-26.13,0.0,0
CLD-000199,2025-06-14 20:45:00,V-016,多溫層,-25,8,-15.12,1.0,0
CLD-000911,2025-02-28 01:45:00,V-017,冷藏,2,8,6.55,1.0,0
CLD-000994,2025-04-28 18:00:00,V-009,冷凍,-25,-18,-16.47,0.0,0
CLD-000123,2025-04-28 05:30:00,V-010,冷凍,-25,-18,-19.67,1.0,0
CLD-001026,2025-04-30 16:30:00,V-012,多溫層,-25,8,-12.15,1.0,0
CLD-000766,2025-02-21 00:00:00,V-014,冷凍,-25,-18,-26.26,0.0,0
CLD-000613,2025-05-19 19:00:00,V-018,冷藏,2,8,7.82,1.0,0
CLD-000156,2025-06-19 12:15:00,V-010,冷凍,-25,-18,-20.72,1.0,0
CLD-000869,2025-05-10 03:00:00,V-018,冷藏,2,8,2.07,1.0,0
CLD-000782,2025-03-05 18:15:00,V-008,冷藏,2,8,3.62,1.0,0
CLD-000425,2025-02-27 12:30:00,V-002,多溫層,-25,8,-1.28,1.0,0
CLD-000688,2025-02-27 07:30:00,V-007,冷藏,2,8,8.79,0.0,0
CLD-000114,2025-02-08 18:00:00,V-006,冷藏,2,8,7.51,1.0,0
CLD-001056,2025-04-10 18:15:00,V-017,冷藏,2,8,1.84,0.0,0
CLD-000067,2025-05-10 18:30:00,V-003,冷凍,-25,-18,-20.82,1.0,0
CLD-000490,2025-05-15 10:00:00,V-010,冷凍,-25,-18,,,1
CLD-000221,2025-02-04 21:00:00,V-010,冷凍,-25,-18,-26.53,0.0,0
CLD-000895,2025-04-25 05:45:00,V-012,多溫層,-25,8,-23.18,1.0,0
CLD-000819,2025-04-25 20:45:00,V-007,冷藏,2,8,2.14,1.0,0
CLD-001116,2025-04-04 08:15:00,V-005,冷凍,-25,-18,-16.85,0.0,0
CLD-001167,2025-03-04 14:15:00,V-003,冷凍,-25,-18,-21.92,1.0,0
CLD-000285,2025-05-18 02:30:00,V-016,多溫層,-25,8,7.97,1.0,0
CLD-000694,2025-03-19 17:30:00,V-011,多溫層,-25,8,5.86,1.0,0
CLD-000116,2025-05-27 16:45:00,V-003,冷凍,-25,-18,-23.02,1.0,0
CLD-000332,2025-06-05 23:15:00,V-013,冷藏,2,8,7.75,1.0,0
CLD-000309,2025-03-09 02:15:00,V-002,多溫層,-25,8,,,1
CLD-000093,2025-03-26 03:00:00,V-010,冷凍,-25,-18,-26.83,0.0,0
CLD-000046,2025-03-26 00:00:00,V-003,冷凍,-25,-18,-22.2,1.0,0
CLD-001041,2025-04-16 14:00:00,V-019,冷凍,-25,-18,-16.54,0.0,0
CLD-000626,2025-06-15 10:00:00,V-008,冷藏,2,8,2.99,1.0,0
CLD-000492,2025-04-09 03:15:00,V-020,冷凍,-25,-18,-18.2,1.0,0
CLD-000763,2025-04-28 00:15:00,V-002,多溫層,-25,8,-18.48,1.0,0
CLD-000451,2025-04-11 09:15:00,V-005,冷凍,-25,-18,,,1
CLD-000789,2025-02-02 22:45:00,V-011,多溫層,-25,8,-2.86,1.0,0
CLD-000844,2025-03-09 21:15:00,V-020,冷凍,-25,-18,-17.93,0.0,0
CLD-000977,2025-01-15 13:30:00,V-005,冷凍,-25,-18,-19.47,1.0,0
CLD-000258,2025-04-22 15:15:00,V-020,冷凍,-25,-18,-23.53,1.0,0
CLD-000754,2025-06-29 13:45:00,V-006,冷藏,2,8,3.7,1.0,0
CLD-001151,2025-03-19 07:00:00,V-007,冷藏,2,8,5.28,1.0,0
CLD-000384,2025-01-02 15:00:00,V-003,冷凍,-25,-18,-24.61,1.0,0
CLD-000641,2025-02-17 03:15:00,V-013,冷藏,2,8,4.62,1.0,0
CLD-000367,2025-01-26 03:00:00,V-012,多溫層,-25,8,-20.28,1.0,0
CLD-000947,2025-03-03 15:45:00,V-001,冷凍,-25,-18,-21.88,1.0,0
CLD-000434,2025-01-17 11:15:00,V-004,冷藏,2,8,7.95,1.0,0
CLD-001019,2025-06-04 05:30:00,V-010,冷凍,-25,-18,-24.73,1.0,0
CLD-000450,2025-03-24 12:30:00,V-002,多溫層,-25,8,-12.19,1.0,0
CLD-000654,2025-02-04 22:00:00,V-003,冷凍,-25,-18,-23.82,1.0,0
CLD-000997,2025-06-01 05:30:00,V-005,冷凍,-25,-18,-18.48,1.0,0
CLD-000105,2025-02-11 00:00:00,V-016,多溫層,-25,8,-20.43,1.0,0
CLD-000361,2025-03-19 04:15:00,V-016,多溫層,-25,8,-18.29,1.0,0
CLD-000989,2025-05-16 16:45:00,V-016,多溫層,-25,8,-0.06,1.0,0
CLD-000958,2025-06-14 19:00:00,V-017,冷藏,2,8,3.57,1.0,0
CLD-001174,2025-04-09 14:00:00,V-002,多溫層,-25,8,-16.05,1.0,0
CLD-000036,2025-05-03 03:30:00,V-005,冷凍,-25,-18,-17.76,0.0,0
CLD-000962,2025-01-01 06:30:00,V-005,冷凍,-25,-18,-20.34,1.0,0
CLD-001085,2025-06-07 18:15:00,V-007,冷藏,2,8,3.39,1.0,0
CLD-000565,2025-04-19 19:15:00,V-003,冷凍,-25,-18,-24.49,1.0,0
CLD-000188,2025-01-08 01:30:00,V-018,冷藏,2,8,6.83,1.0,0
CLD-000409,2025-03-10 17:45:00,V-010,冷凍,-25,-18,-20.65,1.0,0
CLD-000946,2025-03-15 16:30:00,V-008,冷藏,2,8,2.54,1.0,0
CLD-000837,2025-03-16 07:15:00,V-020,冷凍,-25,-18,-18.5,1.0,0
CLD-000486,2025-01-27 12:30:00,V-002,多溫層,-25,8,5.65,1.0,0
CLD-001113,2025-02-10 19:00:00,V-002,多溫層,-25,8,1.23,1.0,0
CLD-000550,2025-02-01 15:45:00,V-005,冷凍,-25,-18,-26.42,0.0,0
CLD-000273,2025-02-27 15:00:00,V-011,多溫層,-25,8,-23.24,1.0,0
CLD-000041,2025-04-22 12:00:00,V-015,冷凍,-25,-18,,,1
CLD-000414,2025-04-23 05:30:00,V-004,冷藏,2,8,7.37,1.0,0
CLD-000716,2025-05-23 01:45:00,V-016,多溫層,-25,8,,,1
CLD-000294,2025-01-24 11:30:00,V-014,冷凍,-25,-18,-22.05,1.0,0
CLD-000078,2025-06-30 14:45:00,V-010,冷凍,-25,-18,,,1
CLD-000984,2025-04-29 03:15:00,V-018,冷藏,2,8,6.08,1.0,0
CLD-000360,2025-01-16 20:15:00,V-019,冷凍,-25,-18,-23.02,1.0,0
CLD-000523,2025-06-26 17:30:00,V-002,多溫層,-25,8,-23.68,1.0,0
CLD-000830,2025-04-09 20:45:00,V-006,冷藏,2,8,2.54,1.0,0
CLD-000086,2025-06-07 19:15:00,V-011,多溫層,-25,8,8.51,0.0,0
CLD-000793,2025-03-17 01:45:00,,冷凍,-25,-18,-21.24,,1
CLD-000252,2025-06-23 12:00:00,,冷藏,2,8,5.94,,1
CLD-000689,2025-05-17 03:30:00,V-009,冷凍,-25,-18,-26.5,0.0,0
CLD-000695,2025-06-21 03:45:00,V-019,冷凍,-25,-18,-17.79,0.0,0
CLD-000162,2025-02-25 02:15:00,V-016,多溫層,-25,8,-11.22,1.0,0
CLD-000495,2025-01-02 02:15:00,V-016,多溫層,-25,8,-26.59,0.0,0
CLD-000653,2025-04-02 02:00:00,V-005,冷凍,-25,-18,-24.13,1.0,0
CLD-000530,2025-06-18 14:00:00,V-001,冷凍,-25,-18,-25.33,0.0,0
CLD-000435,2025-03-18 07:00:00,V-004,冷藏,2,8,5.38,1.0,0
CLD-000683,2025-03-30 12:15:00,V-010,冷凍,-25,-18,-16.91,0.0,0
CLD-001073,2025-04-18 23:45:00,V-019,冷凍,-25,-18,-23.33,1.0,0
CLD-000262,2025-01-01 23:15:00,V-002,多溫層,-25,8,-12.41,1.0,0
CLD-000075,2025-06-08 10:30:00,V-015,冷凍,-25,-18,-26.12,0.0,0
CLD-000394,2025-04-19 14:45:00,V-009,冷凍,-25,-18,,,1
CLD-001160,2025-01-26 16:45:00,V-012,多溫層,-25,8,-21.2,1.0,0
CLD-001115,2025-02-28 15:45:00,V-016,多溫層,-25,8,-22.28,1.0,0
CLD-000663,2025-03-23 07:15:00,V-002,多溫層,-25,8,-20.18,1.0,0
CLD-001051,2025-04-08 21:15:00,V-009,冷凍,-25,-18,-25.18,0.0,0
CLD-000378,2025-05-18 06:45:00,V-004,冷藏,2,8,4.04,1.0,0
CLD-001153,2025-01-05 21:15:00,V-008,冷藏,2,8,2.25,1.0,0
CLD-000044,2025-06-14 04:15:00,V-018,冷藏,2,8,3.86,1.0,0
CLD-000246,2025-01-28 12:30:00,V-018,冷藏,2,8,7.32,1.0,0
CLD-000978,2025-06-14 12:00:00,V-013,冷藏,2,8,1.63,0.0,0
CLD-000901,2025-02-09 15:30:00,V-004,冷藏,2,8,8.99,0.0,0
CLD-000811,2025-05-12 02:15:00,V-001,冷凍,-25,-18,-16.16,0.0,0
CLD-000878,2025-01-30 19:15:00,V-013,冷藏,2,8,4.9,1.0,0
CLD-000058,2025-02-03 03:30:00,V-009,冷凍,-25,-18,-19.51,1.0,0
CLD-000616,2025-03-02 18:45:00,V-005,冷凍,-25,-18,-19.51,1.0,0
CLD-000447,2025-05-29 11:45:00,,多溫層,-25,8,-19.81,,1
CLD-000568,2025-02-21 17:15:00,V-003,冷凍,-25,-18,,,1
CLD-001028,2025-04-04 11:30:00,V-018,冷藏,2,8,5.65,1.0,0
CLD-000569,2025-06-10 23:15:00,V-014,冷凍,-25,-18,-16.95,0.0,0
CLD-000990,2025-01-19 06:45:00,V-008,冷藏,2,8,6.44,1.0,0
CLD-001166,2025-01-04 04:15:00,V-005,冷凍,-25,-18,-18.21,1.0,0
CLD-001145,2025-04-08 15:15:00,,冷藏,2,8,,,1
CLD-000914,2025-01-31 21:45:00,V-003,冷凍,-25,-18,-19.77,1.0,0
CLD-001161,2025-03-05 01:15:00,V-005,冷凍,-25,-18,-24.53,1.0,0
CLD-000662,2025-01-25 12:45:00,V-001,冷凍,-25,-18,-17.18,0.0,0
CLD-000461,2025-05-13 13:30:00,V-007,冷藏,2,8,,,1
CLD-000969,2025-02-26 09:00:00,V-019,冷凍,-25,-18,-20.97,1.0,0
CLD-000629,2025-03-17 00:15:00,V-019,冷凍,-25,-18,-17.99,0.0,0
